"Item_Number","Title","End_Time","Price","Ruler","Year","Mint","YI_Num","Description","Obverse_Image","Reverse_Image","Obverse_Text","Reverse_Text","Obverse_URL","Reverse_URL"
"401188904724","SOL-Rum-Seljuqen-Kaykhusraw-III-Dirham-672-H-Kayseriye-DU692-","22. Sep. 2016 02:12:55 MESZ","EUR 33,00","","","","","","401188904724o.jpg","401188904724r.jpg","","","NzE1WDE0MDA=/z/SLkAAOSw8w1X2dXn","NzE1WDE0MDA=/z/SLkAAOSw8w1X2dXn"
"401181429365","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-654-H-PM494-","12. Sep. 2016 02:14:34 MESZ","EUR 15,50","","","","","","401181429365o.jpg","401181429365r.jpg","","","NzkzWDE2MDA=/z/jSUAAOSwMgdXyXsK","NzkzWDE2MDA=/z/jSUAAOSwMgdXyXsK"
"401181429526","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-656-H-PM501-","12. Sep. 2016 02:03:19 MESZ","EUR 18,59","","","","","","401181429526o.jpg","401181429526r.jpg","","","Nzk0WDE2MDA=/z/3fkAAOSwFdtXyXsT","Nzk0WDE2MDA=/z/3fkAAOSwFdtXyXsT"
"401181429223","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-652-H-PM485-","12. Sep. 2016 01:57:21 MESZ","EUR 19,50","","","","","","401181429223o.jpg","401181429223r.jpg","","","NzgyWDE2MDA=/z/ts0AAOSwGtRXyXsC","NzgyWDE2MDA=/z/ts0AAOSwGtRXyXsC"
"401181429037","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-650-H-PM483-","12. Sep. 2016 01:54:26 MESZ","EUR 14,50","","","","","","401181429037o.jpg","401181429037r.jpg","","","Nzk5WDE2MDA=/z/AHAAAOSw8oFXyXr6","Nzk5WDE2MDA=/z/AHAAAOSw8oFXyXr6"
"401181428956","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-649-H-PM481-","12. Sep. 2016 01:51:10 MESZ","EUR 25,50","","","","","","401181428956o.jpg","401181428956r.jpg","","","Nzg2WDE2MDA=/z/3tsAAOSwgmJXyXrx","Nzg2WDE2MDA=/z/3tsAAOSwgmJXyXrx"
"391549217615","SOL-Rum-Seljuqen-Izz-ad-Din-Kaykaus-II-Dirham-Konya-646-H-Lot-2-PM449-","12. Sep. 2016 01:50:05 MESZ","EUR 47,20","","","","","","391549217615o.jpg","391549217615r.jpg","","","MTUxOFgxNjAw/z/IZQAAOSwFV9XyXrg","MTUxOFgxNjAw/z/IZQAAOSwFV9XyXrg"
"401181428797","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-648-H-PM478-","12. Sep. 2016 01:48:28 MESZ","EUR 23,50","","","","","","401181428797o.jpg","401181428797r.jpg","","","Nzg4WDE2MDA=/z/3eQAAOSwgmJXyXrp","Nzg4WDE2MDA=/z/3eQAAOSwgmJXyXrp"
"401181094422","SOL-Rum-Seljuqen-Kayyubad-I-bin-Kaikhusraw-Dirham-Siwas-625-H-Izm-276-BA147-","09. Sep. 2016 00:21:38 MESZ","EUR 22,50","","","","","","401181094422o.jpg","401181094422r.jpg","","","ODA2WDE2MDA=/z/iZAAAOSw-kdXyKnu","ODA2WDE2MDA=/z/iZAAAOSw-kdXyKnu"
"401179825497","SOL-Rum-Seljuqen-Kaykhusraw-I-Kupfer-Fals-Reiter-Hennequin-1636-ff-RK771-","07. Sep. 2016 01:49:56 MESZ","EUR 5,50","","","","","","401179825497o.jpg","401179825497r.jpg","","","NTg0WDEyMzk=/z/QyQAAOSw-kdXxg4~","NTg0WDEyMzk=/z/QyQAAOSw-kdXxg4~"
"401179825466","SOL-Rum-Seljuqen-Kaykhusraw-III-Dirham-Siwas-DU683-","07. Sep. 2016 01:46:01 MESZ","EUR 22,50","","","","","","401179825466o.jpg","401179825466r.jpg","","","NjkwWDE0MjI=/z/r-IAAOSw5ClXxg45","NjkwWDE0MjI=/z/r-IAAOSw5ClXxg45"
"391546869601","SOL-Rum-Seljuqen-Kaykhusraw-III-Dirham-Sarus-DU681-","07. Sep. 2016 01:40:03 MESZ","EUR 22,50","","","","","","391546869601o.jpg","391546869601r.jpg","","","NzQ3WDE1NjU=/z/QZoAAOSw-kdXxg4r","NzQ3WDE1NjU=/z/QZoAAOSw-kdXxg4r"
"391546067781","SOL-Rum-Seljuqen-Masud-II-Dirham-684-H-Siwas-CB456-","05. Sep. 2016 23:00:10 MESZ","EUR 22,39","","","","","","391546067781o.jpg","391546067781r.jpg","","","NzQzWDE0NDI=/z/97YAAOSwOdpXxJ6p","NzQzWDE0NDI=/z/97YAAOSwOdpXxJ6p"
"391545506673","SOL-Rum-Seljuqen-Izz-ad-Din-Kaykaus-II-Dirham-Konya-646-H-Lot-2-PM452-","05. Sep. 2016 01:36:20 MESZ","EUR 32,50","","","","","","391545506673o.jpg","391545506673r.jpg","","","MTUzMlgxNjAw/z/55cAAOSw9IpXw2I6","MTUzMlgxNjAw/z/55cAAOSw9IpXw2I6"
"391545506614","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-648-H-PM423-","05. Sep. 2016 01:33:54 MESZ","EUR 21,50","","","","","","391545506614o.jpg","391545506614r.jpg","","","Nzk4WDE2MDA=/z/U4MAAOSwFdtXw2Iw","Nzk4WDE2MDA=/z/U4MAAOSwFdtXw2Iw"
"391545506543","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-650-H-PM426-","05. Sep. 2016 01:30:46 MESZ","EUR 21,05","","","","","","391545506543o.jpg","391545506543r.jpg","","","ODAwWDE2MDA=/z/wTgAAOSw5ClXw2Io","ODAwWDE2MDA=/z/wTgAAOSw5ClXw2Io"
"401178505567","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-652-H-PM432-","05. Sep. 2016 01:27:08 MESZ","EUR 24,50","","","","","","401178505567o.jpg","401178505567r.jpg","","","Nzg3WDE2MDA=/z/6M8AAOSwFe5Xw2Ig","Nzg3WDE2MDA=/z/6M8AAOSwFe5Xw2Ig"
"391545506431","SOL-Rum-Seljuqen-3-Br-Kaykaus-Qilij-Arslan-Kayqubad-Dirham-Konya-654-H-PM440-","05. Sep. 2016 01:21:02 MESZ","EUR 21,50","","","","","","391545506431o.jpg","391545506431r.jpg","","","ODExWDE2MDA=/z/T~YAAOSwFdtXw2IP","ODExWDE2MDA=/z/T~YAAOSwFdtXw2IP"
